Type;Totaal leeftijd man en vrouw;Totaal leeftijd man;Totaal leeftijd vrouw;0 tot 65 jaar man en vrouw;0 tot 65 jaar man;0 tot 65 jaar vrouw;65 tot 80 jaar man en vrouw;65 tot 80 jaar man;65 tot 80 jaar vrouw;80 jaar of ouder man en vrouw;80 jaar of ouder man;80 jaar of ouder vrouw
2019 week 2*;3262;1578;1684;462;274;188;865;489;376;1935;815;1120
2019 week 3*;3150;1520;1630;396;217;179;926;538;388;1828;765;1063
2019 week 4*;3178;1544;1634;420;211;209;930;511;419;1828;822;1006
2019 week 5*;3143;1578;1565;439;265;174;947;571;376;1757;742;1015
2019 week 6*;3185;1590;1595;401;227;174;983;553;430;1801;810;991
2019 week 7*;3252;1579;1673;405;240;165;915;526;389;1932;813;1119
2019 week 8*;3222;1530;1692;415;239;176;940;541;399;1867;750;1117
2019 week 9*;3066;1462;1604;400;219;181;879;500;379;1787;743;1044
2019 week 10*;3171;1581;1590;429;252;177;938;570;368;1804;759;1045
2019 week 11*;3227;1582;1645;415;216;199;980;574;406;1832;792;1040
2019 week 12*;3042;1464;1578;399;237;162;860;500;360;1783;727;1056
2019 week 13*;3013;1508;1505;396;230;166;892;542;350;1725;736;989
2019 week 14*;2900;1386;1514;384;221;163;848;475;373;1668;690;978
2019 week 15*;2900;1470;1430;402;262;140;888;506;382;1610;702;908
2019 week 16*;3040;1478;1562;426;240;186;901;523;378;1713;715;998
2019 week 17*;2957;1419;1538;367;217;150;860;473;387;1730;729;1001
2019 week 18*;2806;1363;1443;377;222;155;869;477;392;1560;664;896
2019 week 19*;2771;1334;1437;377;224;153;821;447;374;1573;663;910
2019 week 20*;2821;1366;1455;387;224;163;811;466;345;1623;676;947
2019 week 21*;2873;1370;1503;404;240;164;810;453;357;1659;677;982
2019 week 22*;2732;1357;1375;390;239;151;845;508;337;1497;610;887
2019 week 23*;2736;1327;1409;417;229;188;807;441;366;1512;657;855
2019 week 24*;2650;1339;1311;369;226;143;819;490;329;1462;623;839
2019 week 25*;2694;1356;1338;366;213;153;866;517;349;1462;626;836
2019 week 26*;2835;1402;1433;410;243;167;858;507;351;1567;652;915
2019 week 27*;2725;1355;1370;383;224;159;868;495;373;1474;636;838
2019 week 28*;2760;1326;1434;402;246;156;841;464;377;1517;616;901
2019 week 29*;2584;1273;1311;400;245;155;816;484;332;1368;544;824
2019 week 30*;3007;1454;1553;434;238;196;879;516;363;1694;700;994
2019 week 31*;2731;1348;1383;379;222;157;857;508;349;1495;618;877
2019 week 32*;2628;1279;1349;371;202;169;784;459;325;1473;618;855
2019 week 33*;2612;1283;1329;358;217;141;838;480;358;1416;586;830
2019 week 34*;2615;1304;1311;372;202;170;813;486;327;1430;616;814
2019 week 35*;2782;1330;1452;381;211;170;906;511;395;1495;608;887
2019 week 36*;2555;1227;1328;376;213;163;783;449;334;1396;565;831
2019 week 37*;2640;1288;1352;378;203;175;847;487;360;1415;598;817
2019 week 38*;2580;1267;1313;354;206;148;817;471;346;1409;590;819
2019 week 39*;2753;1377;1376;395;236;159;864;486;378;1494;655;839
